id,quantity,title,pid,type,description,image,brand_name,amount,date,status,payment_mode,cid,pname,pemail,pphone,pplace,ppost,ppin,pcustomer_type,retailer_name,retailer_email,retailer_phone,retailer_place,retailer_post,retailer_pin
21,58,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Abinya,a@gmail.com,9875326906,Kannur,kannur,567983
22,5,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Abinya,a@gmail.com,9875326906,Kannur,kannur,567983
24,5,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Abinya,a@gmail.com,9875326906,Kannur,kannur,567983
25,85,Coca Cola 500 ml,10,beverage,Soft drink,/media/download.jpeg,Coca Cola,40,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Abinya,a@gmail.com,9875326906,Kannur,kannur,567983
26,5,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
27,55,Coca Cola 500 ml,10,beverage,Soft drink,/media/download.jpeg,Coca Cola,40,2026-03-25,ordered,online,11,nivin,nivin@gmail.com,9876543211,keezhur,keezhur,789098,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
28,2,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-26,ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
29,3,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-26,ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
30,10,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-26,ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
31,4,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
32,13,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
33,1,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-26,Ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
34,2,Coca Cola 500 ml,10,beverage,Soft drink,/media/download.jpeg,Coca Cola,40,2026-03-26,Ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
35,2,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
36,2,Coca Cola 500 ml,10,beverage,Soft drink,/media/download.jpeg,Coca Cola,40,2026-03-26,Ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
37,5,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,online,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
38,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
39,8,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Net Banking,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
40,11,Rice 1 kg,5,Grocery,Premium quality white rice,/media/WhatsApp Image 2026-03-16 at 08.31.17.jpeg,India Gate,60,2026-03-26,Ordered,Cash,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
41,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
42,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
43,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
44,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
45,5,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Debit Card,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
46,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Debit Card,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
47,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,UPI,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
48,8,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,UPI,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
49,2,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,UPI,12,Aswathy VK,vkaswathy02@gmail.com,6543219877,kannur,keezhur,670703,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
50,1,Coca Cola 500 ml,10,beverage,Soft drink,/media/download.jpeg,Coca Cola,40,2026-03-26,Ordered,Debit Card,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
51,5,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,UPI,13,avk,kva@gmail.com,9988776655,kannur,iritty,696969,individual,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
52,4,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
53,6,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Net Banking,1,aswathy,z@gmail.com,7890876543,"ghj,","nm,",111111,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
54,10,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
55,2,Dove Soap,18,Personal Care,Care Moisturizing beauty soap,/media/WhatsApp%20Image%202026-03-26%20at%2012.27.45.jpeg,Dove ,55,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
56,1,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
57,4,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
58,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,2,devika,de@gmail.com,4567890987,Thrissur,chalakudi,678909,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
59,3,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
60,1,Coffee Powder,20,Beverage,Instant coffee,/media/WhatsApp%20Image%202026-03-26%20at%2012.37.30.jpeg,Nescafe,180,2026-03-26,Ordered,Net Banking,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
70,1,Shampoo Bottle,9,Personal care,Hair cleaning shampoo,/media/Clinic%20Plus%20Strong%20and%20Long%20Health%20Shampoo%2C%20650ml.jpeg,Clinic Plus,288,2026-03-26,Ordered,Cash,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
71,1,Maggi Noodles,12,Packaged Food,Instant noodles pack,/media/Maggi%202-Minute%20Masala%20Noodles%20%E2%80%93%20Quick%2C%20Tasty%20%26%20Comforting.jpeg,Nestle,15,2026-03-26,Ordered,Cash,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
72,2,KitKat,17,Chocolate,Wafer chocolate bar,/media/WhatsApp%20Image%202026-03-26%20at%2012.25.26.jpeg,KitKat,25,2026-03-26,Ordered,Cash,6,divya,div@gmail.com,9678946356,sreekandapuram,thirur,678908,,Hridya,h@gmail.com,9876543210,Kozhikode,erg,678543
